date,title,link,location
15.01.2024 14:07 Uhr,Farbschmierereien an einer Gedenktafel,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1405198.php,Ereignisort:Mitte
04.09.2015 14:20 Uhr,Kindesaussetzung - Erste Ermittlungsergebnisse und weitere Fragen,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.360889.php,Ereignisort:Pankow
02.02.2015 10:00 Uhr,Mord an 19-jähriger Frau - Ermittler suchen eine Zeugin,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.256107.php,Ereignisort:Treptow - Köpenick
