date,title,link,location
15.12.2016 09:50 Uhr,Ungelöster Mordfall aus dem Jahr 1997 - Mordkommission bittet erneut um Mithilfe,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.541783.php,Ereignisort:Mitte
28.11.2016 09:50 Uhr,Mitglied einer Rockergruppierung erschossen,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1455170.php,Ereignisort:Lichtenberg
06.08.2016 16:37 Uhr,Säugling ausgesetzt – Zeugen gesucht,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.506478.php,Ereignisort:Pankow
04.07.2016 08:18 Uhr,Mord in der Bismarckstraße: 10.000 Euro für Hinweise,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1456910.php,Ereignisort:Charlottenburg-Wilmersdorf
17.06.2016 10:00 Uhr,Tötungsdelikt in Mariendorf,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.486902.php,Ereignisort:bezirksübergreifend
16.06.2016 09:04 Uhr,Toter Säugling aus Babyklappe wird beerdigt,https://www.berlin.de/polizei/polizeimeldungen/2021/pressemitteilung.1460942.php,Ereignisort:Neukölln
