date,title,link,location
16.11.2017 05:40 Uhr,Mörder von Karin RIECK gesucht – Polizei bittet um Mithilfe,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.648896.php,Ereignisort:Steglitz-Zehlendorf
01.10.2017 08:26 Uhr,Toter im Park – 1. Mordkommission bittet um Mithilfe - 5000 Euro Belohnung,https://www.berlin.de/polizei/polizeimeldungen/2024/pressemitteilung.1455142.php,Ereignisort:Steglitz-Zehlendorf
28.09.2017 12:25 Uhr,Mutter und Kind angefahren – 8. Mordkommission sucht Zeugen,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.633033.php,Ereignisort:Friedrichshain-Kreuzberg
10.07.2017 13:39 Uhr,Angriff auf Rolltreppe,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.555517.php,Ereignisort:Mitte
19.05.2017 13:44 Uhr,Toter Säugling wird beigesetzt – Ermittlungen dauern an – Belohnung ausgelobt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.456317.php,Ereignisort:Lichtenberg
26.03.2017 11:05 Uhr,Radfahrer verstorben,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.576045.php,Ereignisort:Friedrichshain-Kreuzberg
25.03.2017 13:59 Uhr,Raub im Supermarkt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.576043.php,Ereignisort:Charlottenburg-Wilmersdorf
