date,title,link,location
26.12.2022 11:52 Uhr,Autofahrerin und Beifahrer schwer verletzt,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278566.php,Ereignisort:Tempelhof-Schöneberg
26.12.2022 11:17 Uhr,Überfall auf Tankstelle - Festnahme,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278565.php,Ereignisort:Friedrichshain-Kreuzberg
24.12.2022 10:05 Uhr,Angestellte eines Spätkaufs überfallen,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278558.php,Ereignisort:Neukölln
24.12.2022 09:59 Uhr,Kind von Auto angefahren,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278557.php,Ereignisort:Reinickendorf
24.12.2022 09:55 Uhr,Beim Abbiegen mit Auto überschlagen,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278556.php,Ereignisort:Steglitz-Zehlendorf
23.12.2022 15:38 Uhr,Versuchter Einbruch in Apotheke - Vier Männer festgenommen,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278538.php,Ereignisort:Neukölln
23.12.2022 15:36 Uhr,Mädchen wieder da,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278506.php,Ereignisort:Spandau
23.12.2022 13:50 Uhr,Verdacht der Brandstiftung an Kraftfahrzeugen,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278513.php,Ereignisort:Tempelhof-Schöneberg
23.12.2022 13:25 Uhr,Mutmaßlichen Sexualstraftäter identifiziert,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1274513.php,Ereignisort:Neukölln
23.12.2022 12:20 Uhr,Verdacht der Körperverletzung mit Todesfolge,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278447.php,Ereignisort:Mitte
23.12.2022 09:23 Uhr,Handy aus Jackentasche entwendet – Festnahme,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1278367.php,Ereignisort:Neukölln
23.12.2022 09:18 Uhr,Kontrolle über Sportwagen verloren,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1278357.php,Ereignisort:Spandau
23.12.2022 09:14 Uhr,Jugendlichem gefolgt und geschlagen,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1278363.php,Ereignisort:Steglitz-Zehlendorf
22.12.2022 10:28 Uhr,"Alkoholisiert, jugendlich und ohne Führerschein",https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278044.php,Ereignisort:Spandau
22.12.2022 10:00 Uhr,"Beleidigt, geschlagen und ein Auto beschädigt - Festnahme",https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278022.php,Ereignisort:Steglitz-Zehlendorf
22.12.2022 09:58 Uhr,Antisemitisch beleidigt und bedroht,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278020.php,Ereignisort:Neukölln
22.12.2022 09:56 Uhr,Rucksack aus Transporter gestohlen - Festnahme,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1278019.php,Ereignisort:Charlottenburg-Wilmersdorf
22.12.2022 09:21 Uhr,Festnahme zweier Langfinger,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1277982.php,Ereignisort:Reinickendorf
22.12.2022 09:09 Uhr,15-Jähriger mit Papas Auto unterwegs,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1277972.php,Ereignisort:Lichtenberg
21.12.2022 10:20 Uhr,Beim Motorraddiebstahl erwischt,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276432.php,Ereignisort:Treptow-Köpenick
21.12.2022 09:37 Uhr,Festnahme nach Feuer an Obdachlosenzelt,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1277454.php,Ereignisort:Mitte
21.12.2022 09:30 Uhr,Jugendliche attackiert,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1277452.php,Ereignisort:Lichtenberg
21.12.2022 09:27 Uhr,"Über den Balkon eingebrochen, aus dem Fenster geflüchtet",https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1277448.php,Ereignisort:Pankow
21.12.2022 09:15 Uhr,Raub auf Tankstelle,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1277461.php,Ereignisort:Reinickendorf
21.12.2022 09:06 Uhr,Mädchen bei Verkehrsunfall verletzt,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1275867.php,Ereignisort:Marzahn-Hellersdorf
20.12.2022 15:11 Uhr,Jugendlicher flüchtet vor der Polizei,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1277308.php,Ereignisort:Steglitz-Zehlendorf
20.12.2022 13:49 Uhr,Fahrzeug beschädigt und mit Balsamico-Creme beschmiert - Festnahme,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1277204.php,Ereignisort:Neukölln
20.12.2022 12:34 Uhr,Festnahmen nach Taschendiebstahl,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1277047.php,Ereignisort:Friedrichshain-Kreuzberg
20.12.2022 10:51 Uhr,Mit Mamas Auto vor der Polizei geflüchtet,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276926.php,Ereignisort:Charlottenburg-Wilmersdorf
20.12.2022 09:57 Uhr,Tatverdächtiger identifiziert,https://www.berlin.de/polizei/polizeimeldungen/pressemitteilung.1276034.php,Ereignisort:Charlottenburg-Wilmersdorf
20.12.2022 09:27 Uhr,Festnahme eines mutmaßlichen Autoeinbrechers,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276823.php,Ereignisort:Mitte
20.12.2022 09:25 Uhr,Mann mit schweren Schnittverletzungen im Krankenhaus,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276821.php,Ereignisort:Charlottenburg-Wilmersdorf
20.12.2022 09:23 Uhr,Fußgänger von Tram erfasst,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276820.php,Ereignisort:Pankow
20.12.2022 08:28 Uhr,Festnahme nach rassistischer Beleidigung,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276770.php,Ereignisort:Mitte
20.12.2022 08:25 Uhr,Fahrzeuge angezündet,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276766.php,Ereignisort:Neukölln
19.12.2022 14:31 Uhr,Verkehrsunfall mit schwerverletzter Person,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276585.php,Ereignisort:Spandau
19.12.2022 12:48 Uhr,Überfall nach Geschäftsschluss,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276466.php,Ereignisort:Pankow
19.12.2022 10:39 Uhr,Streit zwischen Jugendlichen eskaliert,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276341.php,Ereignisort:Reinickendorf
18.12.2022 13:11 Uhr,Vor der Polizei geflüchtet und Unfall verursacht – Festnahme,https://www.berlin.de/polizei/polizeimeldungen/2022/pressemitteilung.1276201.php,Ereignisort:bezirksübergreifend
